signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,universe,return_type,research_block,p_fdr
rvol_up2_pmarp_gte60_sign_pos,20,1833,1390,1368,621,0.03247181913757321,0.011253091128535564,0.5497076023391813,-0.12060921604307057,-0.0501004858559507,0.08172204171735375,0.19941785201577264,0.03432810173211072,0.022280540104564928,0.5877616747181964,5.5440149442706215,4.377804065600633e-08,pool,raw,strong_state_confirmation,2.918536043733755e-07
rvol_up2_pmarp_gte60_sign_pos,40,1833,1197,1165,575,0.04650796572111576,0.015357722562117537,0.5304721030042918,-0.18009482179288605,-0.07729503426929774,0.12477558348294426,0.26370041020037427,0.05515945710310939,0.023419473249724265,0.5547826086956522,5.584521221163465,3.620464869669835e-08,pool,raw,strong_state_confirmation,2.918536043733755e-07
rvol_up2_pmarp_gte60_sign_pos,60,1833,1067,1017,514,0.05981340772529752,0.017599252509675534,0.5476892822025565,-0.2117124606791135,-0.09856512644121662,0.14345889068302742,0.3168389399014896,0.08201192138540257,0.0336552008133707,0.5778210116731517,5.0456342062974775,6.285091565033176e-07,pool,raw,strong_state_confirmation,2.0950305216777254e-06
rvol_up2_pmarp_gte60_sign_pos_close_near_high,5,1030,976,969,496,0.006663630106612806,0.0,0.49948400412796695,-0.07985017289024926,-0.036477495107632096,0.03783783783783767,0.08853833879959488,0.010621267732155059,0.0027705111858126186,0.5221774193548387,2.7864882158501056,0.005532858343278789,pool,raw,strong_state_confirmation,0.005532858343278789
rvol_up2_pmarp_gte60_sign_pos_close_near_high,10,1030,919,906,469,0.022976056017507823,0.009120297863432048,0.5573951434878587,-0.08937680413122623,-0.037625276345634256,0.05838549119571823,0.1382114911692376,0.02299129593921724,0.008996539792387459,0.55863539445629,4.022675103554108,6.707919426474941e-05,pool,raw,strong_state_confirmation,8.943892568633255e-05
rvol_up2_pmarp_gte60_sign_pos_close_near_high,20,1030,858,844,446,0.030385722462598946,0.010316727172342888,0.5450236966824644,-0.11698893262214095,-0.05212567969926457,0.08092678050780622,0.19133339761317275,0.035276952012928416,0.016978176348801353,0.5762331838565022,4.757308749360689,2.6555888230831298e-06,pool,raw,strong_state_confirmation,6.638972057707825e-06
rvol_up2_pmarp_gte60_sign_pos_close_near_high,40,1030,763,742,407,0.04720478616259458,0.012168362676855393,0.5215633423180593,-0.18847340755175107,-0.08337826985449157,0.12978351901652752,0.2754641747068417,0.05744373074228496,0.021945732150774666,0.5651105651105651,4.767479467088886,2.6038562904421887e-06,pool,raw,strong_state_confirmation,6.638972057707825e-06
rvol_up2_pmarp_gte60_sign_pos_close_near_high,60,1030,701,668,374,0.060409974777842775,0.014493253648839577,0.5449101796407185,-0.2103886441772249,-0.09907729966515322,0.13896632520736008,0.3251134942464681,0.07950486745485393,0.03334174406471202,0.5828877005347594,4.436470989618296,1.2052308426513176e-05,pool,raw,strong_state_confirmation,1.8542012963866423e-05
rvol_up2_pmarp_lt30_close_near_low,5,1067,1002,998,456,0.01009265362599895,0.006248836614081488,0.561122244488978,-0.06567413916658381,-0.02512267751050065,0.04349574296258307,0.08699079068722392,0.007407457375012226,0.0026177075208640987,0.5328947368421053,2.2655498445654976,0.023948182529753156,pool,raw,low_state_rebound,0.02660909169972573
rvol_up2_pmarp_lt30_close_near_low,10,1067,957,951,441,0.017563377216997737,0.011112220945912243,0.576235541535226,-0.07931870126740703,-0.028512413915004475,0.057367970481092545,0.11135265700483088,0.010619327269970216,0.00888648547619475,0.5532879818594104,2.6207468093448907,0.009077431836989919,pool,raw,low_state_rebound,0.012967759767128455
rvol_up2_pmarp_lt30_close_near_low,20,1067,876,864,418,0.030278875029492655,0.020548340339661575,0.5856481481481481,-0.10125992063492056,-0.04794042706625801,0.08723450219614814,0.17063832463959627,0.025524171655228994,0.014108541031682215,0.5454545454545454,3.9216869406358335,0.00010278988386324569,pool,raw,low_state_rebound,0.00017131647310540947
rvol_up2_pmarp_lt30_close_near_low,40,1067,783,758,391,0.045700948504083135,0.013808530296642751,0.5527704485488126,-0.1411353402819109,-0.06313802017584683,0.12328937103757076,0.24841564631948018,0.04013412797833032,0.013776677719142594,0.5626598465473146,4.283266814596029,2.322052481346862e-05,pool,raw,low_state_rebound,4.666095086040694e-05
