ma_window,threshold,event_type,target,horizon,event_n,event_mean,non_event_mean,mean_diff,hit_rate,non_event_hit_rate
20,0.7,high_strength,SPY,60,15,0.0173857996483573,0.027471529418557905,-0.010085729770200606,0.6666666666666666,0.7254901960784313
20,0.7,high_strength,QQQ,5,29,0.0067784626643185315,0.002910891289058884,0.0038675713752596473,0.5172413793103449,0.5873517786561265
20,0.7,high_strength,QQQ,10,29,0.007866755127222392,0.0062518870015988185,0.0016148681256235734,0.5517241379310345,0.6
20,0.7,high_strength,QQQ,20,28,0.010569480518683116,0.012400576986518636,-0.0018310964678355194,0.6071428571428571,0.6410871302957634
20,0.7,high_strength,QQQ,60,15,0.019990516479838915,0.035105078670103505,-0.01511456219026459,0.6666666666666666,0.6838235294117647
20,0.7,high_strength,SOXX,5,28,0.0046402955003013125,0.0050271993825668606,-0.000386903882265548,0.5,0.5610749185667753
20,0.7,high_strength,SOXX,10,28,0.007062300169856138,0.010714561800067756,-0.0036522616302116177,0.5714285714285714,0.5699100572363042
20,0.7,high_strength,SOXX,20,27,0.010883901491220952,0.021298534349006436,-0.010414632857785483,0.5925925925925926,0.5914332784184514
20,0.7,high_strength,SOXX,60,14,0.056137265444291255,0.057131811133046925,-0.00099454568875567,0.5714285714285714,0.6360572872788542
20,0.75,high_strength,SPY,5,23,0.007891932542370615,0.0023271796698436627,0.005564752872526952,0.6956521739130435,0.5885129819040126
20,0.75,high_strength,SPY,10,23,0.00597458968580564,0.004974979619194363,0.000999610066611277,0.7391304347826086,0.6169036334913112
20,0.75,high_strength,SPY,20,22,0.011624207866597468,0.009755812782984749,0.0018683950836127193,0.7272727272727273,0.6603023070803501
20,0.75,high_strength,SPY,60,13,0.02292272225373684,0.027396365100931207,-0.004473642847194367,0.7692307692307693,0.7243066884176182
20,0.75,high_strength,QQQ,5,23,0.009716750353581893,0.002875977686697358,0.006840772666884535,0.5652173913043478,0.5861526357199056
20,0.75,high_strength,QQQ,10,23,0.007414380506435986,0.006267758901308003,0.0011466216051279829,0.6956521739130435,0.5971563981042654
20,0.75,high_strength,QQQ,20,22,0.014074405206732345,0.012330493516396044,0.001743911690336301,0.6818181818181818,0.639618138424821
20,0.75,high_strength,QQQ,60,13,0.030284481329182898,0.03497126899031395,-0.0046867876611310505,0.7692307692307693,0.6827079934747146
20,0.75,high_strength,SOXX,5,22,0.006200168694323902,0.004997508431544097,0.0012026602627798052,0.5454545454545454,0.559967585089141
20,0.75,high_strength,SOXX,10,22,0.0036291015889873823,0.010758188162148997,-0.007129086573161615,0.5,0.5711960943856794
20,0.75,high_strength,SOXX,20,21,0.00838100859861218,0.02129039742572617,-0.01290938882711399,0.5238095238095238,0.5926229508196721
20,0.75,high_strength,SOXX,60,12,0.04703077202525698,0.05722204564074322,-0.010191273615486239,0.5,0.6366694701429773
20,0.8,high_strength,SPY,5,14,0.00343775502946165,0.00241502440502606,0.00102273062443559,0.5714285714285714,0.590625
20,0.8,high_strength,SPY,10,14,0.0038235678913608622,0.0050056547530937575,-0.0011820868617328953,0.7142857142857143,0.6180392156862745
20,0.8,high_strength,SPY,20,13,0.010916886743954387,0.009776358383574697,0.0011405283603796897,0.6153846153846154,0.6619273301737757
20,0.8,high_strength,SPY,60,8,0.014372423611050178,0.0274337608563378,-0.013061337245287623,0.75,0.7246141348497157
20,0.8,high_strength,QQQ,5,14,0.004402564794303161,0.002982200774066001,0.00142036402023716,0.5,0.58671875
20,0.8,high_strength,QQQ,10,14,0.006194566094613092,0.00628924674147402,-9.46806468609283e-05,0.7142857142857143,0.5976470588235294
20,0.8,high_strength,QQQ,20,13,0.009779644863904258,0.012386992007446432,-0.002607347143542174,0.5384615384615384,0.641390205371248
20,0.8,high_strength,QQQ,60,8,0.012450741606791604,0.03506813006218516,-0.02261738845539356,0.625,0.6839967506092608
20,0.8,high_strength,SOXX,5,13,0.00021307384838172765,0.005068832788231358,-0.00485575893984963,0.46153846153846156,0.5607401448109413
20,0.8,high_strength,SOXX,10,13,0.0072578795546679115,0.010668256100184296,-0.0034103765455163844,0.5384615384615384,0.5702746365105008
20,0.8,high_strength,SOXX,20,12,-0.004260081390486836,0.02131928967993704,-0.025579371070423875,0.5833333333333334,0.5915378356387306
20,0.8,high_strength,SOXX,60,7,0.012089379289487865,0.05738421765169208,-0.045294838362204215,0.42857142857142855,0.6365159128978225
