universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
pool,Full,pmarp_combo,pmarp_up2_base,30,2447,600,0.026325812757782775,0.00835671869100297,0.5433333333333333,4.350606485584608,1.5959045229849252e-05,7.979522614924627e-05
pool,Full,pmarp_combo,pmarp_up2_base,60,2303,572,0.06176415025747176,0.020660941914873,0.5716783216783217,4.943713098050776,1.0090235120234335e-06,1.0090235120234336e-05
pool,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,30,44,31,0.011452321641008808,-0.027901473199738014,0.41935483870967744,0.37199344473215,0.7125125250925762,0.7871339866836525
pool,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,60,41,28,0.14346557774341204,0.01224871301571917,0.6071428571428571,1.4216626447952287,0.16657318715287325,0.25532751381743246
pool,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,30,67,47,-0.009605778823896224,-0.0353855304907549,0.40425531914893614,-0.271614208158612,0.7871339866836525,0.7871339866836525
pool,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,60,60,41,0.17249480914834892,0.02229776560820751,0.5609756097560976,1.738693261069821,0.08978133171609273,0.17956266343218547
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,157,66,0.06735601772088252,0.018040714769627854,0.5454545454545454,1.3593625669072666,0.1787292596722027,0.25532751381743246
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,152,62,0.1685186117923523,0.021264292008595642,0.6290322580645161,2.3492986652276358,0.022063005658379466,0.05515751414594866
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,185,85,0.04453514062792706,0.016529500978400558,0.5294117647058824,1.0648918214845582,0.28997635881417344,0.3624704485177168
pool,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,175,77,0.1739504569822178,0.02229776560820751,0.6103896103896104,2.517786981857804,0.013913772825334835,0.04637924275111612
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,10,221,114,0.01640222169375505,0.012849374464046937,0.6228070175438597,2.865012509730861,0.004973395532758732,0.01989358213103493
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,20,221,114,0.020677343129417953,0.008942224467868631,0.5877192982456141,2.3314801376057344,0.02150055068680571,0.04300110137361142
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,30,221,114,0.030217787727282133,0.015326090121942748,0.6228070175438597,2.394949680875076,0.018267017743731094,0.0417531834142425
pool,IS,standalone_bbwp,bbwp_down98_after_downtrend,60,221,114,0.05434398141441977,0.03673749110451116,0.6052631578947368,3.047078962446559,0.0028771187680959563,0.01989358213103493
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,10,214,133,0.0067146992974031665,-0.004924466319544962,0.45112781954887216,0.7242184506644921,0.47021327358984333,0.5787240290336533
pool,IS,standalone_bbwp,bbwp_down98_after_uptrend,20,214,133,0.0017579442062782744,-0.010954862296021606,0.43609022556390975,0.17289359833564558,0.8629998903645589,0.8629998903645589
