ma_window,threshold,event_type,horizon,event_n_min,event_n_max,avg_mean_lift_pp,min_mean_lift_pp,max_mean_lift_pp,avg_hit_lift_pp,min_perm_p,max_perm_p,positive_mean_targets_count,positive_mean_targets,positive_hit_targets_count,positive_hit_targets,perm_sig_targets_count,perm_sig_targets,bootstrap_positive_targets_count,bootstrap_positive_targets,all_targets_positive_mean,all_targets_positive_hit,validity_score
50,0.75,high_strength,5,10,11,0.1641602149527688,-0.0554051483132781,0.3211497635649682,-1.3090353665333285,0.3986013986013986,0.5554445554445554,2,"QQQ,SOXX",1,SOXX,0,,0,,False,False,3
50,0.8,high_strength,10,5,6,0.46191423503967605,-0.11793717990534365,1.575401263407049,-5.910847673448892,0.21678321678321677,0.5174825174825175,1,SOXX,2,"SPY,SOXX",0,,0,,False,False,3
50,0.7,high_strength,20,18,19,-0.1492249152985221,-0.36728197891876135,0.0009695554715763444,5.274462017188346,0.5344655344655345,0.641,1,SPY,2,"SPY,SOXX",0,,0,,False,False,3
50,0.25,low_recovery,10,14,14,-0.16796551141140018,-0.5648841535703352,0.1257028147447256,-2.095681490252495,0.3418803418803419,0.5173867228661749,1,SOXX,2,"SPY,SOXX",0,,0,,False,False,3
50,0.75,high_strength,60,7,8,-0.6561692771339594,-2.0037641987565413,0.11861276004458549,-3.3650104267554606,0.5565565565565566,0.7362637362637363,1,QQQ,2,"SPY,QQQ",0,,0,,False,False,3
20,0.8,high_strength,5,13,14,-0.08042214317256267,-0.48557589398496304,0.142036402023716,-6.837228728130274,0.4075924075924076,0.6433566433566433,2,"SPY,QQQ",0,,0,,0,,False,False,2
20,0.25,low_recovery,10,21,22,0.13965498219950104,-0.2575046367902867,0.7919814255397508,-4.25954153349383,0.26573426573426573,0.623,1,SOXX,1,SOXX,0,,0,,False,False,2
20,0.2,low_recovery,20,18,19,-0.019576864133337774,-0.161788940738284,0.2553867971808345,-0.7409729921241707,0.3036963036963037,0.47152847152847155,1,SPY,1,SPY,0,,0,,False,False,2
50,0.3,low_recovery,5,17,17,-0.1328175223409809,-0.43675434844249095,0.16941221863419803,-0.8081482313157752,0.3373737373737374,0.596,1,SOXX,1,SOXX,0,,0,,False,False,2
20,0.8,high_strength,10,13,14,-0.15623813513700693,-0.3410376545516384,-0.00946806468609283,6.035735200422077,0.4785214785214785,0.5464535464535465,0,,2,"SPY,QQQ",0,,0,,False,False,2
