universe,return_type,signal_label,horizon,n_events_raw,n_events_dedup,n_events_scored,n_effective,mean_event_return,median_event_return,hit_rate_event,p10_event_return,p25_event_return,p75_event_return,p90_event_return,mean_cluster_return,median_cluster_return,hit_rate_cluster,t_stat,p_value,p_fdr
pool,raw,rvol_up2_panic_proxy,20,1600,1217,1202,540,0.029646815143486573,0.017821487146158166,0.5873544093178037,-0.09941145810948009,-0.04686148722622452,0.08595425470676565,0.17598739836464353,0.02334210032819417,0.011824603933766942,0.562962962962963,4.537811755567515,7.013843122678705e-06,1.6503160288655776e-05
pool,raw,rvol_up2_panic_proxy,40,1600,1056,1022,493,0.051939729374870146,0.01925221059481219,0.5636007827788649,-0.14851927135732168,-0.06514946164714211,0.12872706929802236,0.27118907366285383,0.03899919026180525,0.01609871896705406,0.5679513184584178,4.993892664322479,8.231636037043949e-07,3.658504905352866e-06
pool,raw,rvol_up2_pmarp_high,5,1784,1577,1566,675,0.010425666331975968,0.003571767476691079,0.5395913154533845,-0.07710763641307056,-0.029439699792960627,0.03974677950145905,0.08876281307245792,0.013195567966072736,0.005130855395265699,0.557037037037037,3.4267854553177948,0.0006478796639078905,0.0010797994398464843
pool,raw,rvol_up2_pmarp_high,10,1784,1448,1434,640,0.021944115422491778,0.01000098455519327,0.5767085076708508,-0.08633263374294614,-0.032471572798347004,0.0568644711204489,0.1331172563235371,0.0225150778865029,0.009237552443946528,0.565625,4.720346470662046,2.8950103639481698e-06,7.72002763719512e-06
pool,raw,rvol_up2_pmarp_high,20,1784,1300,1284,602,0.030616678819535354,0.011995963711012747,0.543613707165109,-0.12133264779230275,-0.050618601379855716,0.07848615906597411,0.18470631781029553,0.03560187171929623,0.017126892078175193,0.5631229235880398,4.828797418790437,1.744795303972649e-06,5.815984346575497e-06
pool,raw,rvol_up2_pmarp_high,40,1784,1139,1115,553,0.04012651629013981,0.010542168674698926,0.5210762331838565,-0.1846798230770817,-0.08191566040055148,0.11522393781651641,0.2393402222494865,0.045123542209397904,0.01645591001422969,0.5497287522603979,4.553756965544737,6.488816525217451e-06,1.6222041313043628e-05
pool,raw,rvol_up2_pmarp_low,5,2101,1805,1799,636,0.009254793842475878,0.0066873656556007965,0.556420233463035,-0.06364728719250026,-0.024923057330224374,0.04081273855448897,0.08160059817103439,0.0036433672638798713,0.002851298651591949,0.5267295597484277,1.5763210602203441,0.11544986451598269,0.13582337001880318
pool,raw,rvol_up2_pmarp_low,10,2101,1651,1641,611,0.015963453422908905,0.010558924861742813,0.5703839122486288,-0.07883714112454665,-0.029658232007886975,0.055374592833876246,0.10641658118823139,0.011111778578077701,0.007638958208885642,0.5499181669394435,3.3687668696881534,0.0008026405304645891,0.0012842248487433426
pool,raw,rvol_up2_pmarp_low,20,2101,1458,1442,566,0.03122362753444741,0.02124764702684445,0.5957004160887656,-0.09648931778527986,-0.04217933122366216,0.08607325315326264,0.1698359691680846,0.02377049489507399,0.013394858379046293,0.5600706713780919,4.749406861331391,2.5898172184644876e-06,7.399477767041393e-06
pool,raw,rvol_up2_pmarp_low,40,2101,1210,1170,521,0.05522222634677977,0.02859625489966111,0.5794871794871795,-0.13954020492836886,-0.06147899666792192,0.1283835362688287,0.26177113707038707,0.040008244921609266,0.020887761039573988,0.5700575815738963,5.030955758113554,6.732700814042834e-07,3.366350407021417e-06
pool,raw,rvol_up2_pmarp_mid,5,1968,1827,1821,682,0.007215391587872052,0.002591046494889948,0.5216913783635365,-0.06907575703150248,-0.027639050420742883,0.03318176232026526,0.07932203389830517,0.010513024042608973,0.003413999429469239,0.5234604105571847,3.148389441863384,0.0017134385040937852,0.0025384274134722744
pool,raw,rvol_up2_pmarp_mid,10,1968,1738,1730,660,0.012025348091216477,0.005123404964681111,0.5341040462427745,-0.09053581595222612,-0.03561591341061121,0.051428872071016984,0.10738079949109428,0.015024081696103357,0.005778759322933687,0.5287878787878788,3.587796598100463,0.00035819963740082214,0.0006229558911318646
pool,raw,rvol_up2_pmarp_mid,20,1968,1577,1563,621,0.024241322945741696,0.015269164625566711,0.5585412667946257,-0.11745839798703799,-0.05002383197098409,0.07954817442012263,0.1622681858632638,0.026208695358811856,0.0187283894063468,0.5652173913043478,4.458360035554062,9.803819754291296e-06,2.0639620535350098e-05
pool,raw,rvol_up2_pmarp_mid,40,1968,1307,1269,547,0.043652927247398186,0.025670352014232956,0.5650118203309693,-0.15348017393568852,-0.06530579538852943,0.11472760849492158,0.2344026550344333,0.04014599039670297,0.0271483763182625,0.5904936014625228,4.775093735767449,2.310442287608576e-06,7.109053192641772e-06
pool,raw,rvol_up2_sign_flat,5,1083,1026,1024,406,0.004163050594664739,0.0032255763658622927,0.5341796875,-0.053306905039512895,-0.01944714656290525,0.027897913869527557,0.05539893298965084,0.0029495358844847893,0.002927369125436674,0.5270935960591133,0.8215644846641059,0.41180817413961707,0.4223673580919149
pool,raw,rvol_up2_sign_flat,10,1083,990,988,394,0.00861898956444618,0.006931943477969438,0.5526315789473685,-0.07501963952730943,-0.026446091854199494,0.04363023030488655,0.08249595634249439,0.010240542370435016,0.006245684874409468,0.5279187817258884,2.3746256526622767,0.018046124311022427,0.022557655388778033
pool,raw,rvol_up2_sign_flat,20,1083,931,928,375,0.013072143907662597,0.014802328560222344,0.5549568965517241,-0.1020889801336159,-0.04471475097696609,0.0663562258865314,0.11890565629424635,0.013201315933974821,0.010614024041814763,0.536,2.1909517637065163,0.029071751587356143,0.0352384867725529
pool,raw,rvol_up2_sign_flat,40,1083,812,791,330,0.028373615996607014,0.020432827431140943,0.5600505689001264,-0.1325831349635721,-0.05896892231534179,0.09688325313395596,0.19582754868485241,0.02744447509917771,0.020397108013962335,0.5575757575757576,2.8059175071275724,0.005316069194676982,0.00759438456382426
pool,raw,rvol_up2_sign_neg,5,2344,2163,2153,741,0.00874873039145626,0.005221566472813022,0.5434277751973989,-0.07010542681684379,-0.02958108770210688,0.04113110539845777,0.08677386411438825,0.0033801140120186556,0.004833487511563428,0.5371120107962213,1.3153744447567421,0.18879149871722434,0.21576171281968495
pool,raw,rvol_up2_sign_neg,10,2344,2014,1998,720,0.014249485203414828,0.00911397477192244,0.5570570570570571,-0.08803769313634315,-0.034694315816241994,0.05438859010350189,0.11431117505538303,0.009433264480372638,0.007658127551332994,0.55,2.698958324158969,0.007119027161690553,0.009819347809228348
pool,raw,rvol_up2_sign_neg,20,2344,1763,1742,676,0.027216323307296588,0.016556092153911628,0.5717566016073479,-0.11389388386963417,-0.05288649931772105,0.08467863449274404,0.17028356591479563,0.024239602678722945,0.01070640414320792,0.5606508875739645,4.826791774903329,1.717244752275381e-06,5.815984346575497e-06
pool,raw,rvol_up2_sign_neg,40,2344,1438,1393,602,0.04541909095049847,0.01397649558462244,0.5491744436468055,-0.16091323815504063,-0.07222334614606518,0.12102858357241542,0.25877888099395274,0.04012117088871864,0.021662245010490733,0.5813953488372093,5.137696341197601,3.764787119740767e-07,2.1513069255661527e-06
pool,raw,rvol_up2_sign_pos,5,2426,2199,2189,777,0.01023131469095536,0.003378817413905111,0.5299223389675651,-0.07824906014063812,-0.03110192266245282,0.039854532352577854,0.09263934212846346,0.01585111710393246,0.006009847142731228,0.5637065637065637,4.273498470949198,2.1635788730040476e-05,4.121102615245805e-05
pool,raw,rvol_up2_sign_pos,10,2426,2025,2012,745,0.021460444693965363,0.009292927555715647,0.5616302186878728,-0.08785716866576708,-0.035000354373928316,0.059773420789529186,0.1344563693510614,0.02567188810880978,0.00946041924604081,0.5785234899328859,5.307801174858112,1.4658522007665904e-07,9.772348005110603e-07
pool,raw,rvol_up2_sign_pos,20,2426,1793,1777,702,0.033936684935793895,0.01394873292923382,0.562183455261677,-0.11802327558889973,-0.04804548685145693,0.08442243688611084,0.20250729605673595,0.036371388060053134,0.021470013982938796,0.5769230769230769,6.228881228220285,8.097609169237872e-10,1.6195218338475746e-08
pool,raw,rvol_up2_sign_pos,40,2426,1468,1437,637,0.054223700959949606,0.028765342960288764,0.5560194850382741,-0.16858742209045496,-0.06951219512195117,0.1333194169015064,0.2764944272861124,0.05247959743239359,0.02550693492760711,0.5588697017268446,5.612617641792372,2.9775310737115447e-08,2.9775310737115446e-07
pool,excess_spy,rvol_up2_all,5,5853,4854,4834,1001,0.005819730501355717,0.0009271984752537987,0.5103434009102192,-0.06086679514574962,-0.02695580777651474,0.02972000136551972,0.07006093396220744,0.00869987049858825,0.0015433127269448565,0.5244755244755245,3.1867999578930517,0.0014831561820324024,0.003295902626738672
pool,excess_spy,rvol_up2_all,10,5853,4248,4219,960,0.011135869303288354,0.0028461670343418177,0.5214505807063285,-0.07671044356895806,-0.034211076744037616,0.04166055918403366,0.09708487930282178,0.015727505217170517,0.004173093013667913,0.54375,4.4052694723680865,1.1754971737561243e-05,9.403977390048994e-05
pool,excess_spy,rvol_up2_all,20,5853,3417,3382,888,0.016426736561844422,0.0021614203575467394,0.5106445890005914,-0.10280096002401015,-0.04841434940260403,0.06063101226274978,0.13602364955887353,0.019461785944374272,0.00877076182633661,0.5574324324324325,4.658393483331538,3.674879286825298e-06,4.8998390491003974e-05
pool,excess_spy,rvol_up2_all,40,5853,2380,2311,800,0.03086719427582928,0.003737768465823965,0.5110341843357854,-0.15423048057167654,-0.07595065199457657,0.09488143955204847,0.20322489814555422,0.03825573772291055,0.010456190166305123,0.5375,5.170124472702024,2.9588398893919007e-07,1.1835359557567603e-05
pool,excess_spy,rvol_up2_base_proxy,5,589,567,565,261,-0.003570214788352172,-0.004793141006665724,0.44778761061946903,-0.04426706667466928,-0.024270956933219456,0.016142649592931768,0.042621550384185275,-0.003377942552806884,-0.004080953947338539,0.4521072796934866,-0.9203866478905436,0.35822389965484297,0.43421078746041575
pool,excess_spy,rvol_up2_base_proxy,10,589,558,556,257,0.0012735598288468029,-0.0040999920148032665,0.46223021582733814,-0.05801946989896645,-0.031062210131994256,0.028656180410008947,0.06764966503459446,0.0026874611032884628,-0.0011308741620612572,0.48249027237354086,0.5594704924188083,0.5763298083640077,0.6586626381302945
pool,excess_spy,rvol_up2_base_proxy,20,589,538,534,249,-5.813450488341426e-05,-0.005198728048292356,0.46629213483146065,-0.09325358961640141,-0.04801389342590015,0.045852397871641165,0.09752689118914233,-0.0019420908777032255,-0.002740340220152159,0.46987951807228917,-0.3202848130416134,0.7490221230066847,0.8097536464937132
pool,excess_spy,rvol_up2_base_proxy,40,589,492,476,217,0.0018367856754615685,-0.00599355798969281,0.4726890756302521,-0.13856804961462527,-0.0760774961530204,0.05936177938806719,0.13872831806613806,0.007412769130786505,-0.003936277364716404,0.4792626728110599,0.7702636397933708,0.44198514558765056,0.5199825242207654
pool,excess_spy,rvol_up2_churn_proxy,5,1483,1354,1344,635,0.009484314856568704,0.001687523149691894,0.5126488095238095,-0.0678559818302394,-0.028937634526966377,0.03562157163182264,0.08293570532790354,0.01014649789232758,0.0019085043994984119,0.5244094488188976,2.642841947318733,0.008424441115286606,0.01347910578445857
pool,excess_spy,rvol_up2_churn_proxy,10,1483,1257,1244,603,0.017362058513100243,0.004500198880853956,0.5353697749196141,-0.08148394579323048,-0.03594155963225509,0.047527313083945755,0.11619608589191326,0.017009922927255013,0.0038701763252448527,0.5323383084577115,3.617655111852809,0.00032224247848821187,0.0011891632379514275
pool,excess_spy,rvol_up2_churn_proxy,20,1483,1143,1128,567,0.023995744852684787,0.002541780789373671,0.5106382978723404,-0.11453840424880919,-0.05641633599686899,0.062270172490026005,0.16845075054576247,0.028081341441028054,0.003434942454195363,0.5255731922398589,3.844189766121069,0.00013466702308861993,0.0006557884791373626
pool,excess_spy,rvol_up2_churn_proxy,40,1483,1013,991,521,0.03096547767067019,-0.0033314677510787316,0.4883955600403633,-0.17082499261622885,-0.08788631429502991,0.09334265896979632,0.21616518007864793,0.03529440018245458,-0.0028967163819580977,0.4875239923224568,3.483171615831212,0.0005372819206991924,0.0017909397356639745
pool,excess_spy,rvol_up2_panic_proxy,5,1600,1461,1455,596,0.0033739069517761404,0.0021458482022432834,0.5223367697594502,-0.06055155461548125,-0.02817255356182602,0.031229720923842463,0.06628769357087327,-0.0005595522965498794,-0.0013704051729809819,0.48825503355704697,-0.27706353081238705,0.7818275512181245,0.8229763697032889
pool,excess_spy,rvol_up2_panic_proxy,10,1600,1364,1354,577,0.006944589977151923,0.0035116422647150647,0.5288035450516987,-0.07449361076653019,-0.03320890907914664,0.04082576333970678,0.09072154779704233,0.0032949918762693237,0.0024208823542040125,0.5147313691507799,1.0844269963957502,0.2786292042629614,0.35952155388769214
pool,excess_spy,rvol_up2_panic_proxy,20,1600,1217,1202,540,0.01288328994359218,0.0019074281022298245,0.5099833610648918,-0.09729587285965365,-0.04718813384614928,0.06520121572679735,0.12592913845610745,0.013261748077813353,0.0016077750421652354,0.5037037037037037,2.8368108925177515,0.004728091074290945,0.008222767085723382
pool,excess_spy,rvol_up2_panic_proxy,40,1600,1056,1022,493,0.028260034802602897,0.007551437972904473,0.5234833659491194,-0.14144861529346792,-0.06950719251029089,0.08863447542243724,0.18884867538649677,0.02175503051306464,0.00783273168286902,0.5334685598377282,3.043183040720443,0.002466099051745052,0.004697331527133432
pool,excess_spy,rvol_up2_pmarp_high,5,1784,1577,1566,675,0.00886331482034324,0.00170585402746537,0.5127713920817369,-0.06617086117669257,-0.028349502401609827,0.034001644737858355,0.08151269736645,0.010797406345299002,0.002575882483266234,0.5244444444444445,2.9183644794556827,0.003635971755817965,0.006610857737850845
pool,excess_spy,rvol_up2_pmarp_high,10,1784,1448,1434,640,0.01690964812328128,0.004191096502427105,0.5327754532775453,-0.08035762008634294,-0.034825013872439636,0.04655851583534992,0.11501893074153985,0.017727974171369995,0.003850770149052292,0.534375,3.927136000452987,9.531394434344956e-05,0.0005446511105339975
pool,excess_spy,rvol_up2_pmarp_high,20,1784,1300,1284,602,0.021942690047544695,0.00263494202743364,0.514018691588785,-0.11252428206710276,-0.05499272085244941,0.060030056863576764,0.15704535872819325,0.02668422515036791,0.0038149829421351145,0.526578073089701,3.8196094649344627,0.0001475524078059066,0.0006557884791373626
pool,excess_spy,rvol_up2_pmarp_high,40,1784,1139,1115,553,0.028587391665032047,-0.002423018331104032,0.4923766816143498,-0.16897997958506333,-0.08595414778780552,0.09176247530916742,0.20421346404320687,0.031541277306192585,-0.002665702784763934,0.488245931283906,3.426528622586035,0.0006568731635628809,0.0018767804673225168
pool,excess_spy,rvol_up2_pmarp_low,5,2101,1805,1799,636,0.003842939114118236,0.0021019172969656275,0.5252918287937743,-0.05746955459564535,-0.026174470334607958,0.029011106578798462,0.06132871203587969,0.00040531107250612176,-0.00033778763430305136,0.4968553459119497,0.20871807861956024,0.8347352587733753,0.8471560627979912
pool,excess_spy,rvol_up2_pmarp_low,10,2101,1651,1641,611,0.008083108033784371,0.003953960083615926,0.5326020719073735,-0.07218444573769145,-0.03207994056817487,0.04124942065477555,0.08888604797405208,0.005548489920980344,0.0024208823542040125,0.5204582651391162,1.9232624821516713,0.054912241447472934,0.08135146881107101
